ExpenditureKey,ParentExpenditureKey,ThaiExpenditureName,EnglishExpenditureName
EG2601BC,EG26BC,ผงซักฟอก/สบู่ซักผ้า/น้ำยาซักผ้า/ก้อนซักผ้า (สิ่งของ),Detergent powder / Laundry soap / (in-kind)
EG2602A,EG26A,น้ำยาปรับผ้านุ่ม/ก้อนปรับผ้านุ่ม (ตัวเงิน),Fabric softener (cash)
EG2602BC,EG26BC,น้ำยาปรับผ้านุ่ม/ก้อนปรับผ้านุ่ม (สิ่งของ),Fabric softener (in-kind)
EG2603A,EG26A,น้ำยารีดผ้าเรียบ/อัดจีบผ้า (ตัวเงิน),Fabric ironing liquid (cash)
EG2603BC,EG26BC,น้ำยารีดผ้าเรียบ/อัดจีบผ้า (สิ่งของ),Fabric ironing liquid (in-kind)
EG2604A,EG26A,"ผลิตภัณฑ์ขจัดคราบสกปรก (ไฮเตอร์, แวนิช) (ตัวเงิน)",Bleach (cash)
EG2604BC,EG26BC,"ผลิตภัณฑ์ขจัดคราบสกปรก (ไฮเตอร์, แวนิช) (สิ่งของ)",Bleach (in-kind)
EG2605A,EG26A,อื่น ๆ (ระบุ) (ตัวเงิน),Others (specify) (cash)
EG2605BC,EG26BC,อื่น ๆ (ระบุ) (สิ่งของ),Others (specify) (in-kind)
EG27A,EGA_205,น้ำยาทำความสะอาด/ขัดเงา ยาดับกลิ่น (ตัวเงิน),"Liquid detergent/ polishes, deodorant, (cash)"
EG27BC,EGA_205,น้ำยาทำความสะอาด/ขัดเงา ยาดับกลิ่น (สิ่งของ),"Liquid detergent/ polishes, deodorant, (in-kind)"
EG2701A,EG27A,น้ำยาถูพื้น (ตัวเงิน),Floor cleaner (cash)
EG2701BC,EG27BC,น้ำยาถูพื้น (สิ่งของ),Floor cleaner (in-kind)
EG2702A,EG27A,น้ำยาล้างห้องน้ำ (ตัวเงิน),Bathroom cleaner (cash)
EG2702BC,EG27BC,น้ำยาล้างห้องน้ำ (สิ่งของ),Bathroom cleaner (in-kind)
EG2703A,EG27A,น้ำยาล้างจาน/เช็ดคราบมัน (ตัวเงิน),Dishwashing liquid / Degreaser (cash)
EG2703BC,EG27BC,น้ำยาล้างจาน/เช็ดคราบมัน (สิ่งของ),Dishwashing liquid / Degreaser (in-kind)
EG2704A,EG27A,สารกำจัดแมลง/ยาจุดกันยุง (ตัวเงิน),Insecticides / Mosquito repellent coil (cash)
EG2704BC,EG27BC,สารกำจัดแมลง/ยาจุดกันยุง (สิ่งของ),Insecticides / Mosquito repellent coil (in-kind)
EG2705A,EG27A,ผลิตภัณฑ์ฆ่าเชื้อโรคอเนกประสงค์ (ตัวเงิน),All-purpose disinfectant (cash)
EG2705BC,EG27BC,ผลิตภัณฑ์ฆ่าเชื้อโรคอเนกประสงค์ (สิ่งของ),All-purpose disinfectant (in-kind)
EG2706A,EG27A,ฟองน้ำ/ฝอยขัดสแตนเลส (ตัวเงิน),Sponge / Stainless scourer (cash)
EG2706BC,EG27BC,ฟองน้ำ/ฝอยขัดสแตนเลส (สิ่งของ),Sponge / Stainless scourer (in-kind)
EG2707A,EG27A,ถุงดำใส่ขยะ/ถุงใส่ขยะ (ตัวเงิน),Garbage bags (cash)
EG2707BC,EG27BC,ถุงดำใส่ขยะ/ถุงใส่ขยะ (สิ่งของ),Garbage bags (in-kind)
EG2708A,EG27A,ค่าบริการขนขยะ (ตัวเงิน),Garbage collection fee (cash)
EG2708BC,EG27BC,ค่าบริการขนขยะ (สิ่งของ),Garbage collection fee (in-kind)
EG2709A,EG27A,ค่าสาธารณูปโภคส่วนกลาง (จ่ายเหมารวม) (ตัวเงิน),Public utility fee (lump sum) (cash)
EG2709BC,EG27BC,ค่าสาธารณูปโภคส่วนกลาง (จ่ายเหมารวม) (สิ่งของ),Public utility fee (lump sum) (in-kind)
EG2710A,EG27A,ค่าใช้จ่ายอื่น ๆ เกี่ยวกับการทำความสะอาด (ตัวเงิน),Other cleaning fees (specify) (cash)
EG2710BC,EG27BC,ค่าใช้จ่ายอื่น ๆ เกี่ยวกับการทำความสะอาด (สิ่งของ),Other cleaning fees (specify) (in-kind)
EG28A,EGA_3,คนรับใช้และคนงาน (ที่เป็นสมาชิกในครัวเรือน) (ตัวเงิน),Servants and house workers (Member of household) (cash)
EG28BC,EGA_3,คนรับใช้และคนงาน (ที่เป็นสมาชิกในครัวเรือน) (สิ่งของ),Servants and house workers (Member of household) (in-kind)
EG2801A,EG28A,ค่าคนดูแลผู้สูงอายุ ฯลฯ (อาศัยในครัวเรือน) (ตัวเงิน),"Elder care expenses, etc. (Live in the household) (cash)"
EG2801BC,EG28BC,ค่าคนดูแลผู้สูงอายุ ฯลฯ (อาศัยในครัวเรือน) (สิ่งของ),"Elder care expenses, etc. (Live in the household) (in-kind)"
EG2802A,EG28A,ค่าคนครัว คนขับรถ ยาม พี่เลี้ยงเด็ก ฯลฯ (ตัวเงิน),"Cooks, drivers, guards, babysitters, etc. (cash)"
EG2802BC,EG28BC,ค่าคนครัว คนขับรถ ยาม พี่เลี้ยงเด็ก ฯลฯ (สิ่งของ),"Cooks, drivers, guards, babysitters, etc. (in-kind)"
EG29A,EGA_3,คนรับใช้และคนงาน  (ที่ไม่ได้เป็นสมาชิกของครัวเรือน) (ตัวเงิน),Servants and house workers  (Persons outside household) (cash)
EG29BC,EGA_3,คนรับใช้และคนงาน  (ที่ไม่ได้เป็นสมาชิกของครัวเรือน) (สิ่งของ),Servants and house workers (Persons outside household) (in-kind)
EG2901A,EG29A,ค่าคนดูแลผู้สูงอายุ ฯลฯ (ตัวเงิน),"Elder care expenses, etc. (Live in the household) (cash)"
EG2901BC,EG29BC,ค่าคนดูแลผู้สูงอายุ ฯลฯ (สิ่งของ),"Elder care expenses, etc. (Live in the household) (in-kind)"
EG2902A,EG29A,ค่าฝากเลี้ยงเด็ก (รายวันหรือรายเดือน) และ (ตัวเงิน),Child care expenses (daily or monthly) and (cash)
EG2902BC,EG29BC,ค่าฝากเลี้ยงเด็ก (รายวันหรือรายเดือน) และ (สิ่งของ),Child care expenses (daily or monthly) and (in-kind)
EG30A,EGA_4,เสื้อ กระโปรง และกางเกงทุกประเภท (ตัวเงิน),"Clothes, skirts and trousers/ pants (cash)"
EG30BC,EGA_4,เสื้อ กระโปรง และกางเกงทุกประเภท (สิ่งของ),"Clothes, skirts and trousers/ pants (in-kind)"
EG3001A,EG30A,เครื่องแบบนักศึกษา/นักเรียนชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),College / School uniform (cash)
EG3001BC,EG30BC,เครื่องแบบนักศึกษา/นักเรียนชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Male (age 13 yrs and over): College / School uniform (in-kind)
EG3002A,EG30A,เครื่องแบบข้าราชการ เครื่องแบบอื่น ๆชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Male (age 13 yrs and over): Government officer uniform and other uniforms (cash)
EG3002BC,EG30BC,เครื่องแบบข้าราชการ เครื่องแบบอื่น ๆชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Male (age 13 yrs and over): Government officer uniform and other uniforms (in-kind)
EG3003A,EG30A,เสื้อเชิ้ตทำงานชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Male (age 13 yrs and over): Work shirt (cash)
EG3003BC,EG30BC,เสื้อเชิ้ตทำงานชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Male (age 13 yrs and over): Work shirt (in-kind)
EG3004A,EG30A,กางเกงทำงานชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Male (age 13 yrs and over): Work pants (cash)
EG3004BC,EG30BC,กางเกงทำงานชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Male (age 13 yrs and over): Work pants (in-kind)
EG3005A,EG30A,ชุดสูทชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Male (age 13 yrs and over): Suit (cash)
EG3005BC,EG30BC,ชุดสูทชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Male (age 13 yrs and over): Suit (in-kind)
EG3006A,EG30A,เครื่องแบบทำงาน/ชุดทำงาน อื่น ๆ ชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Male (age 13 yrs and over): Office uniform and other uniforms (cash)
EG3006BC,EG30BC,เครื่องแบบทำงาน/ชุดทำงาน อื่น ๆ ชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Male (age 13 yrs and over): Office uniform and other uniforms (in-kind)
EG3007A,EG30A,เสื้อยืด/เสื้อโปโลชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Male (age 13 yrs and over): T-shirt / Polo shirt (cash)
EG3007BC,EG30BC,เสื้อยืด/เสื้อโปโลชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Male (age 13 yrs and over): T-shirt / Polo shirt (in-kind)
EG3008A,EG30A,เสื้อเชิ้ตลำลองชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Male (age 13 yrs and over): Casual shirt (cash)
EG3008BC,EG30BC,เสื้อเชิ้ตลำลองชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Male (age 13 yrs and over): Casual shirt (in-kind)
EG3009A,EG30A,กางเกงขาสั้น/ขายาวชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Male (age 13 yrs and over): Shorts / Trousers / Pants (cash)
EG3009BC,EG30BC,กางเกงขาสั้น/ขายาวชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Male (age 13 yrs and over): Shorts / Trousers / Pants (in-kind)
EG3010A,EG30A,เสื้อแจ็กเก็ต/เสื้อผ้าร่ม/เสื้อกันหนาวชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Male (age 13 yrs and over): Jacket / Overcoat / Sweater (cash)
EG3010BC,EG30BC,เสื้อแจ็กเก็ต/เสื้อผ้าร่ม/เสื้อกันหนาวชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Male (age 13 yrs and over): Jacket / Overcoat / Sweater (in-kind)
EG3011A,EG30A,ชุดนอนชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Male (age 13 yrs and over): Sleepwear (cash)
EG3011BC,EG30BC,ชุดนอนชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Male (age 13 yrs and over): Sleepwear (in-kind)
EG3012A,EG30A,อื่น ๆ ชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Male (age 13 yrs and over): Others (cash)
EG3012BC,EG30BC,อื่น ๆ ชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Male (age 13 yrs and over): Others (in-kind)
EG3013A,EG30A,เครื่องแบบนักศึกษา/นักเรียนหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): College / School uniform (cash)
EG3013BC,EG30BC,เครื่องแบบนักศึกษา/นักเรียนหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): College / School uniform (in-kind)
EG3014A,EG30A,เครื่องแบบข้าราชการ เครื่องแบบอื่น ๆหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Government officer uniform and other uniforms (cash)
EG3014BC,EG30BC,เครื่องแบบข้าราชการ เครื่องแบบอื่น ๆหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Government officer uniform and other uniforms (in-kind)
EG3015A,EG30A,เสื้อเชิ้ตทำงานหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Work shirt (cash)
EG3015BC,EG30BC,เสื้อเชิ้ตทำงานหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Work shirt (in-kind)
EG3016A,EG30A,กระโปรง/กางเกงทำงานหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Work skirt / pants (cash)
EG3016BC,EG30BC,กระโปรง/กางเกงทำงานหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Work skirt / pants (in-kind)
EG3017A,EG30A,ชุดเดรสหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Dress (cash)
EG3017BC,EG30BC,ชุดเดรสหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Dress (in-kind)
EG3018A,EG30A,ชุดสูทหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Suit (cash)
EG3018BC,EG30BC,ชุดสูทหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Suit (in-kind)
EG3019A,EG30A,เครื่องแบบทำงาน/ชุดทำงาน อื่น ๆหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Office uniform and other uniforms (cash)
EG3019BC,EG30BC,เครื่องแบบทำงาน/ชุดทำงาน อื่น ๆหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Office uniform and other uniforms (in-kind)
EG3020A,EG30A,เสื้อเชิ้ตหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Shirt (cash)
EG3020BC,EG30BC,เสื้อเชิ้ตหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Shirt (in-kind)
EG3021A,EG30A,เสื้อยืด/เสื้อโปโลหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): T-shirt / Polo shirt (cash)
EG3021BC,EG30BC,เสื้อยืด/เสื้อโปโลหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): T-shirt / Polo shirt (in-kind)
EG3022A,EG30A,กางเกงขาสั้น/ขายาว/กระโปรงหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Shorts / Trousers / Pants / Skirt (cash)
EG3022BC,EG30BC,กางเกงขาสั้น/ขายาว/กระโปรงหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Shorts / Trousers / Pants / Skirt (in-kind)
EG3023A,EG30A,เสื้อแจ็กเก็ต/เสื้อผ้าร่ม/เสื้อกันหนาวหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Jacket / Overcoat / Sweater (cash)
EG3023BC,EG30BC,เสื้อแจ็กเก็ต/เสื้อผ้าร่ม/เสื้อกันหนาวหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Jacket / Overcoat / Sweater (in-kind)
EG3024A,EG30A,ชุดนอนหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Sleepwear (cash)
EG3024BC,EG30BC,ชุดนอนหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Sleepwear (in-kind)
EG3025A,EG30A,อื่น ๆ หญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Female (age 13 yrs and over): Others (cash)
EG3025BC,EG30BC,อื่น ๆ หญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Female (age 13 yrs and over): Others (in-kind)
EG3026A,EG30A,ชุดเด็กอ่อน (อายุต่ำกว่า 1 ปี) (ตัวเงิน),Baby series (aged less than 1 year) (cash)
EG3026BC,EG30BC,ชุดเด็กอ่อน (อายุต่ำกว่า 1 ปี) (สิ่งของ),Baby series (aged less than 1 year) (in-kind)
EG3027A,EG30A,ผ้าอ้อมเด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (ตัวเงิน),Diaper (cash)
EG3027BC,EG30BC,ผ้าอ้อมเด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (สิ่งของ),Diaper (in-kind)
EG3028A,EG30A,เครื่องแบบนักเรียนเด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (ตัวเงิน),Children (aged 12 yrs and lower): School uniform (cash)
EG3028BC,EG30BC,เครื่องแบบนักเรียนเด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (สิ่งของ),Children (aged 12 yrs and lower): School uniform (in-kind)
EG3029A,EG30A,เสื้อยืดเด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (ตัวเงิน),Children (aged 12 yrs and lower): T-shirt (cash)
EG3029BC,EG30BC,เสื้อยืดเด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (สิ่งของ),Children (aged 12 yrs and lower): T-shirt (in-kind)
EG3030A,EG30A,เสื้อเชิ้ตเด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (ตัวเงิน),Children (aged 12 yrs and lower): Shirt (cash)
EG3030BC,EG30BC,เสื้อเชิ้ตเด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (สิ่งของ),Children (aged 12 yrs and lower): Shirt (in-kind)
EG3031A,EG30A,เสื้อแจ็กเก็ต/เสื้อผ้าร่ม/เสื้อกันหนาวเด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (ตัวเงิน),Children (aged 12 yrs and lower): Jacket / Overcoat / Sweater (cash)
EG3031BC,EG30BC,เสื้อแจ็กเก็ต/เสื้อผ้าร่ม/เสื้อกันหนาวเด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (สิ่งของ),Children (aged 12 yrs and lower): Jacket / Overcoat / Sweater (in-kind)
EG3032A,EG30A,เสื้ออื่น ๆเด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (ระบุ)เด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (ตัวเงิน),Children (aged 12 yrs and lower): Other shirts (cash)
EG3032BC,EG30BC,เสื้ออื่น ๆเด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (ระบุ)เด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (สิ่งของ),Children (aged 12 yrs and lower): Other shirts (in-kind)
EG3033A,EG30A,กระโปรง/ชุดเด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (ตัวเงิน),Children (aged 12 yrs and lower): Skirt (cash)
EG3033BC,EG30BC,กระโปรง/ชุดเด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (สิ่งของ),Children (aged 12 yrs and lower): Skirt (in-kind)
EG3034A,EG30A,กางเกงเด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (ขาสั้น/ขายาว)เด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (ตัวเงิน),Children (aged 12 yrs and lower): Shorts / Trousers / Pants (cash)
EG3034BC,EG30BC,กางเกงเด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (ขาสั้น/ขายาว)เด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (สิ่งของ),Children (aged 12 yrs and lower): Shorts / Trousers / Pants (in-kind)
EG3035A,EG30A,ชุดนอนเด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (ตัวเงิน),Children (aged 12 yrs and lower): Sleepwear (cash)
EG3035BC,EG30BC,ชุดนอนเด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (สิ่งของ),Children (aged 12 yrs and lower): Sleepwear (in-kind)
EG3036A,EG30A,อื่น ๆ เด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (ตัวเงิน),Children (aged 12 yrs and lower): Others (cash)
EG3036BC,EG30BC,อื่น ๆ เด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (สิ่งของ),Children (aged 12 yrs and lower): Others (in-kind)
EG31A,EGA_4,ชุดกีฬาโดยเฉพาะ (ตัวเงิน),Sportwears (cash)
EG31BC,EGA_4,ชุดกีฬาโดยเฉพาะ (สิ่งของ),Sportwears (in-kind)
EG3101A,EG31A,ชุดว่ายน้ำชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Swimwear: Male (aged 13 years and over) (cash)
EG3101BC,EG31BC,ชุดว่ายน้ำชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Swimwear: Male (aged 13 years and over) (in-kind)
EG3102A,EG31A,ชุดว่ายน้ำหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Swimwear: Female (aged 13 years and over) (cash)
EG3102BC,EG31BC,ชุดว่ายน้ำหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Swimwear: Female (aged 13 years and over) (in-kind)
EG3103A,EG31A,ชุดว่ายน้ำเด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (ตัวเงิน),Swimwear: Children (aged 12 years and lower) (cash)
EG3103BC,EG31BC,ชุดว่ายน้ำเด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (สิ่งของ),Swimwear: Children (aged 12 years and lower) (in-kind)
EG3104A,EG31A,ชุดวิ่งออกกำลังกายและอื่น ๆ ชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Other sportswears: Male (aged 13 years and over) (cash)
EG3104BC,EG31BC,ชุดวิ่งออกกำลังกายและอื่น ๆ ชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Other sportswears: Male (aged 13 years and over) (in-kind)
EG3105A,EG31A,ชุดวิ่งออกกำลังกายและอื่น ๆ หญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Other sportswears: Female (aged 13 years and over) (cash)
EG3105BC,EG31BC,ชุดวิ่งออกกำลังกายและอื่น ๆ หญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Other sportswears: Female (aged 13 years and over) (in-kind)
EG3106A,EG31A,ชุดวิ่งออกกำลังกายและอื่น ๆ เด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (ตัวเงิน),Other sportswears: Children (aged 12 years and lower) (cash)
EG3106BC,EG31BC,ชุดวิ่งออกกำลังกายและอื่น ๆ เด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (สิ่งของ),Other sportswears: Children (aged 12 years and lower) (in-kind)
EG32A,EGA_4,ผ้านุ่ง โสร่ง ผ้าขาวม้า ชุดชั้นใน (ตัวเงิน),"Loincloth, sarong, pa-kao-ma, underwear (cash)"
EG32BC,EGA_4,ผ้านุ่ง โสร่ง ผ้าขาวม้า ชุดชั้นใน (สิ่งของ),"Loincloth, sarong, pa-kao-ma, underwear (in-kind)"
EG3201A,EG32A,โสร่ง/ผ้าขาวม้าชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Sarong / Loincloth (cash)
EG3201BC,EG32BC,โสร่ง/ผ้าขาวม้าชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Sarong / Loincloth (in-kind)
EG3202A,EG32A,เสื้อกล้ามชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Singlet (cash)
EG3202BC,EG32BC,เสื้อกล้ามชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Singlet (in-kind)
EG3203A,EG32A,กางเกงชั้นใน/บ็อกเซอร์ชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Panties / Boxer shorts (cash)
EG3203BC,EG32BC,กางเกงชั้นใน/บ็อกเซอร์ชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Panties / Boxer shorts (in-kind)
EG3204A,EG32A,ถุงเท้าชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Socks (cash)
EG3204BC,EG32BC,ถุงเท้าชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Socks (in-kind)
EG3205A,EG32A,อื่น ๆชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (ระบุ)ชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Others (specify) (cash)
EG3205BC,EG32BC,อื่น ๆชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (ระบุ)ชาย (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Others (specify) (in-kind)
EG3206A,EG32A,เสื้อยกทรง/เสื้อซับในหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Bra / Slip (cash)
EG3206BC,EG32BC,เสื้อยกทรง/เสื้อซับในหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Bra / Slip (in-kind)
EG3207A,EG32A,กางเกงชั้นใน/กางเกงซับใน/กระโปรงซับในหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Panties / Petticoat (cash)
EG3207BC,EG32BC,กางเกงชั้นใน/กางเกงซับใน/กระโปรงซับในหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Panties / Petticoat (in-kind)
EG3208A,EG32A,ผ้าถุงหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Sarong (cash)
EG3208BC,EG32BC,ผ้าถุงหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Sarong (in-kind)
EG3209A,EG32A,ถุงเท้า/ถุงน่องหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Socks / Stockings (cash)
EG3209BC,EG32BC,ถุงเท้า/ถุงน่องหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Socks / Stockings (in-kind)
EG3210A,EG32A,อื่น ๆหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ระบุ)หญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ตัวเงิน),Others (specify) (cash)
EG3210BC,EG32BC,อื่น ๆหญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (ระบุ)หญิง (อายุตั้งแต่ 13 ปีขึ้นไป) (สิ่งของ),Others (specify) (in-kind)
EG3211A,EG32A,กางเกงชั้นในเด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (ตัวเงิน),Panties (cash)
EG3211BC,EG32BC,กางเกงชั้นในเด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (สิ่งของ),Panties (in-kind)
EG3212A,EG32A,ถุงเท้านักเรียนเด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (ตัวเงิน),School socks (cash)
EG3212BC,EG32BC,ถุงเท้านักเรียนเด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (สิ่งของ),School socks (in-kind)
EG3213A,EG32A,อื่น ๆเด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (ระบุ)เด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (ตัวเงิน),Others (specify) (cash)
EG3213BC,EG32BC,อื่น ๆเด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (ระบุ)เด็ก (อายุต่ำกว่าหรือเท่ากับ 12 ปี) (สิ่งของ),Others (specify) (in-kind)
EG33A,EGA_4,เครื่องแต่งกายอื่น ๆ (ตัวเงิน),Other clothing and body furnishings (cash)
